AAG ORDER NUMBER,CUSTOMER NAME,ORDER DATE PO RECEIVED,CUSTOMER ALT PO,AAG SEASON,CUSTOMER SEASON,DROP,MONTH,RANGE / COLLECTION,PROMO GROUP / CAMPAIGN (HOT 30/GLOBAL EDIT,CATEGORY,PATTERN ID,MAKE OR BUY,PLANNER,ORIGINAL ALIAS/RELATED ITEM,PRICING ALIAS/RELATED ITEM,ALIAS/RELATED ITEM,CUSTOMER STYLE,CUSTOMER''S COLOUR CODE (CUSTOM FIELD) CUSTOMER PROVIDES THIS,ACTIVE,All,Multiple Items,FACILITY CODE,BULK AGREEMENT NUMBER,Sum of TOTAL QTY,BULK AGREEMENT DESCRIPTION,CUSTOMER CODE,CO NUMBER - INITIAL DISTRO,CO NUMBER (INITIAL DISTRO),CO NUMBER (ALLOCATION DISTRO),CO NUMBER - ALLOCATION DISTRO,PO NUMBER,AAG SEASON CODE,INFOR MAKE/BUY CODE,PLANNER2,ITEM TYPE CODE,INFOR ITEM TYPE CODE,PRODUCT GROUP CODE,MAKE/BUY CODE,INFOR PRODUCT GROUP CODE,ITEM GROUP CODE,STYLE DESCRIPTION,INFOR ITEM GROUP CODE,GENDER GROUP CODE,INFOR GENDER GROUP CODE,FABRIC TYPE CODE,INFOR FABRIC TYPE CODE,CUSTOMER COLOUR DESCRIPTION,UNIT OF MEASURE,INFOR COLOUR CODE,XXXS,XXS,XS,S,S/M,M,M/L,L,L/XL,XL,XXL,XXXL,0,2,4,6,8,10,12,14,16,18,20,0-3M,3-6M,6-9M,9-12M,12-18M,18-24M,2T,3T,4T,5T,6T,30/30,30/32,32/30,32/32,34/30,34/32,36/30,36/32,32C,32D,32DD,34C,34D,34DD,36C,36D,36DD,OS,ONE SIZE,0w,10w,12w,1X,2/3,22,24,26,27,28,28-30L,29,2w,2X,2XL,30,30-30L,30-31L,30-32L,30X30,31,31/30,31/32,31-30L,31-31L,31-32L,31X30,32,32/34,32/36,32-30L,32-31L,32-32L,32DDD,32X30,33,33/30,33/32,33-30L,33-31L,33-32L,34,34/34,34-30L,34-31L,34-32L,34DDD,34X30,35,35/30,35/32,35-30L,35-31L,35-32L,36,36/34,36-30L,36-31L,36-32L,36DDD,36X30,38,38/30,38/32,38/34,38/36,38-30L,38-31L,38-32L,38C,38D,38DD,38DDD,38X30,3X,3XL,4/5,40,40/30,40/32,40-30L,40-31L,40X30,42,44,46,48,4w,4X,4XL,4XT,5,50,52,54,56,58,6/7,60,6w,7,8w,9,L(10-12),L(14-16),M(10-12),M(8-10),S(6-8),TOTAL QTY,ORDER TYPE,DESTINATION,DESTINATION WAREHOUSE,ALLOCATION (CHANNEL),SHOP NAME,COLLECTION DELIVERY,SHOP CODE,TRACKING NUMBER,ETA CUSTOMER WAREHOUSE DATE,EX FACTORY DATE,DELIVERY TERMS,PLANNED DELIVERY METHOD,DELIVERY CODE (MODL),NOTES,VALIDATION,VALIDATION2,VALIDATION3,VALIDATION4,CUSTOMER PRICE,USA ONLY LSTP 75% EX WORKS,EX WORKS (USD),ADMINISTRATION FEE,DESIGN FEE,FX CHARGE,HANDLING,PNP,SURCHARGE FEE,DISCOUNT,FINAL FOB (USD),HS CODE,US DUTY RATE,US DUTY,FREIGHT,US TARIFF RATE,US TARIFF,DDP US (USD),UK DUTY RATE,UK FREIGHT,UK INSURANCE,UK CIF,UK DUTY,DDP UK (USD),CAN DUTY RATE,CAN DUTY,DDP CAN (USD),SMS PRICE USD,FINAL PRICES Y/N,NOTES FOR PRICE,PRICING NOTES,Delta,Warehouse,ORTP (ORDER TYPE),Longson Alias,BUAR (BUSINESS AREA UNIT),ADID,record_uuid
GRE-02735,GREYSON CLOTHIERS,21/06/2023,,2024 SPRING,2024 SPRING,D2,,,,,,MANUFACTURED,,,,,LSP24K88,,,,,,,,,,,,,,3416,,,,,,,,,,SLEEVELESS HALLEY QUARTER ZIP,,,,,,100 - ARCTIC,PCE,,,,39,92,,99,,62,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,ACTIVE,"WHIPLASH, OH",,,,,,,5/03/2024 0:00,26/01/2024 0:00,DDP,SEA,,Added 7.12.23,3416LSP24K88100 - ARCTIC314,,,,25.5,14.23,18.97,0.2,,0.61,0.1,,,,19.88,6114.30.10.20,0.282,4.01,,0.075,1.07,24.96,,,,,,,,,,37.44,y,PRICE ADDED 12.28,,,,,,,,93DA83A3-1715-4467-802F-8181536DBE00
GRE-02736,GREYSON CLOTHIERS,21/06/2023,,2024 SPRING,2024 SPRING,D2,,,,,,MANUFACTURED,,,,,LSP24B43,,,,,,,,,,,,,,3416,,,,,,,,,,ASHE CARGO PANT,,,,,,713 - CLAY,PCE,,,,19,41,,40,,19,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,ACTIVE,"WHIPLASH, OH",,,,,,,5/03/2024 0:00,22/03/2024 0:00,DDP,AIR,,ADDED 06.11.23; PLANNED DELIVERY METHOD & EX FACTORY DATE UPDATED 22.01.24; STYLE DESCRIPTION UPDATED 06.02.24,3416LSP24B43713 - CLAY126,,,,41.83,17.36,23.14,0.2,,0.61,0.1,,,,24.05,6204.63.90.11,0.286,4.96,,0.075,1.3,30.31,,,,,,,,,,45.465,y,PRICE ADDED 12.28,,,,,,,,B9170222-88EF-4388-B135-AAA0E454544E
GRE-02737,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MCLSCO40,,,,,,,,,,,,,,3421,,,,,,,,,,YUKON X-LITE VEST,,,,,,417 - MALTESE BLUE,PCE,,,,,57,,148,,332,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,SEA,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MCLSCO40417 - MALTESE BLUE900,,,,,32.08,42.77,0.2,,0.61,0.1,,,,43.68,6201.40.35.20,0.149,4.78,,0.075,2.41,50.87,,,,,,,,,,76.305,Y,PRICE ADDED 11.30,,,,,,,,69D7D84C-D5A8-47E1-B4D6-EC666029A90B
GRE-02738,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MCLSCO50,,,,,,,,,,,,,,3421,,,,,,,,,,YUKON HYBRID JACKET,,,,,,417 - MALTESE BLUE,PCE,,,,,20,,54,,117,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,SEA,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MCLSCO50417 - MALTESE BLUE350,,,,,40.67,54.22,0.2,,0.61,0.1,,,,55.13,6201.40.75.11,0.277,11.27,,0.075,3.05,69.45,,,,,,,,,,104.175,Y,PRICE ADDED 11.30,,,,,,,,666B8358-0F58-4B8D-9536-E5CE475A4F88
GRE-02739,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MCLSCB53,,,,,,,,,,,,,,3421,,,,,,,,,,SEQUOIA JOGGER,,,,,,417 - MALTESE BLUE,PCE,,,,,51,,152,,166,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,SEA,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MCLSCB53417 - MALTESE BLUE500,,,,,30.65,40.86,0.2,,0.61,0.1,,,,41.77,6103.43.15.20,0.282,8.64,,0.075,2.3,52.71,,,,,,,,,,79.065,Y,PRICE ADDED 11.30,,,,,,,,5E3C471D-18F2-451C-A3B8-27869ED93CAF
GRE-02740,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MCLSCB01-30,,,,,,,,,,,,,,3421,,,,,,,,,,MONTAUK TROUSER - 30 INSEAM,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,40,,40,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,28,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,SEA,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MCLSCB01-30417 - MALTESE BLUE200,,,,,20.46,27.28,0.2,,0.61,0.1,,,,28.19,6103.43.15.20,0.282,5.77,,0.075,1.53,35.49,,,,,,,,,,53.235,Y,PRICE ADDED 11.30,,,,,,,,7B73DC00-B12D-4D35-8729-65AB71BFE8FF
GRE-02741,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MFA22K71,,,,,,,,,,,,,,3421,,,,,,,,,,COLORADO HOODIE,,,,,,417 - MALTESE BLUE,PCE,,,,,48,,263,,387,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,AIR,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MFA22K71417 - MALTESE BLUE1000,,,,,23.7,31.6,0.2,,0.61,0.1,,,,32.51,6110.30.30.41,0.32,7.58,,0.075,1.78,41.87,,,,,,,,,,62.805,Y,PRICE ADDED 11.30,,,,,,,,2EFA9406-ABE5-40D6-9670-978B0AE228D1
GRE-02742,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MFA22K71,,,,,,,,,,,,,,3421,,,,,,,,,,COLORADO HOODIE,,,,,,100 - ARCTIC,PCE,,,,,58,,171,,243,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,AIR,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MFA22K71100 - ARCTIC700,,,,,22.34,29.78,0.2,,0.61,0.1,,,,30.69,6110.30.30.41,0.32,7.15,,0.075,1.68,39.52,,,,,,,,,,59.28,Y,PRICE ADDED 11.30,,,,,,,,4B18AFDA-1D44-4AD7-8CF2-6E99A7BEAC61
GRE-02743,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MSP22B66,,,,,,,,,,,,,,3421,,,,,,,,,,WAINSCOTT FIVE POCKET PANT,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,80,,85,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,1,,,,,,,,,37,,,,,,,,,,,,,19,,,,,8,,,,,,,,40,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,SEA,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MSP22B66417 - MALTESE BLUE400,,,,,31.85,42.46,0.2,,0.61,0.1,,,,43.37,6203.43.90.30,0.279,8.89,,0.075,2.39,54.65,,,,,,,,,,81.975,Y,PRICE ADDED 11.30,,,,,,,,29A17494-8318-4130-BFD1-8F425B6DC903
GRE-02744,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MFA22B68,,,,,,,,,,,,,,3421,,,,,,,,,,WAINSCOTT SHORT,,,,,,417 - MALTESE BLUE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,12,,,,,,,53,,,,,,,,57,,,,,,19,,,,,,,36,,,,,,33,,,,,,,27,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,SEA,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MFA22B68417 - MALTESE BLUE250,,,,,24.65,32.86,0.2,,0.61,0.1,,,,33.77,6203.43.90.30,0.279,6.88,,0.075,1.85,42.5,,,,,,,,,,63.75,Y,PRICE ADDED 11.30,,,,,,,,E47D553E-6A83-432C-A4C2-82DDD3205EF4
GRE-02745,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MFA22B68,,,,,,,,,,,,,,3421,,,,,,,,,,WAINSCOTT SHORT,,,,,,262 - STONE,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,5,,,,,,,61,,,,,,,,25,,,,,,56,,,,,,,19,,,,,,45,,,,,,,24,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,SEA,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MFA22B68262 - STONE250,,,,,24.65,32.86,0.2,,0.61,0.1,,,,33.77,6203.43.90.30,0.279,6.88,,0.075,1.85,42.5,,,,,,,,,,63.75,Y,PRICE ADDED 11.30,,,,,,,,708EE85B-DE5B-425C-9EE2-DF0E73D7BC84
GRE-02746,GREYSON CLOTHIERS,22/06/2023,,2024 SPRING,2024 SPRING,D1 REORDER,,,,,,MANUFACTURED,,,,,MSP23K56,,,,,,,,,,,,,,3421,,,,,,,,,,SEQUOIA 1/4 ZIP,,,,,,417 - MALTESE BLUE,PCE,,,,,19,,124,,203,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,5/12/2023 0:00,DDP,SEA,,ADDED 23.6.23; DROP ADDED 25.08.23; PLANNED DELIVERY METHOD UPDATED 31.10.23,3421MSP23K56417 - MALTESE BLUE500,,,,,32.28,43.04,0.2,,0.61,0.1,,,,43.95,6110.30.30.10,0.32,10.33,,0.075,2.42,56.7,,,,,,,,,,85.05,Y,PRICE ADDED 11.30,,,,,,,,E857B24E-7FDE-4488-8124-133903AB887A
GRE-02747,GREYSON CLOTHIERS,26/06/2023,,2024 SPRING,2024 SPRING,D2,,,,,,MANUFACTURED,,,,,LSP22B09,,,,,,,,,,,,,,3428,,,,,,,,,,LEO SKIRT,,,,,,100 - ARCTIC,PCE,,,,64,107,,94,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,10/11/2023 0:00,DDP,SEA,,ADDED 27.6.23; UPDATED SHIP MODE 27.09.23; CUSTOMER EX-FTY DATE UPDATED 10.10.23; UPDATED CUSTOMER EX-FTY DATE 11.10.23,3428LSP22B09100 - ARCTIC300,,,,,18.56,24.75,0.2,,0.61,0.1,,,,25.66,6204.53.30.10,0.16,2.97,,0.075,1.39,30.02,,,,,,,,,,45.03,y,price added 01.11.23 ex work price update 11.17,,,,,,,,01151042-B069-4170-8EEF-5B9E31277861
GRE-02748,GREYSON CLOTHIERS,26/06/2023,,2024 SPRING,2024 SPRING,D2,,,,,,MANUFACTURED,,,,,LSP22B04,,,,,,,,,,,,,,3428,,,,,,,,,,LYRA SHORT,,,,,,100 - ARCTIC,PCE,,,,55,110,,65,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,ACTIVE,"WHIPLASH, OH",,,,,,,5/02/2024 0:00,24/11/2023 0:00,DDP,SEA,,ADDED 27.6.23; UPDATED SHIP MODE 27.09.23; CUSTOMER EX-FTY DATE UPDATED 10.10.23,3428LSP22B04100 - ARCTIC250,,,,,21.91,29.21,0.2,,0.61,0.1,,,,30.12,6104.63.20.30,0.282,6.18,,0.075,1.64,37.94,,,,,,,,,,56.91,y,price added 01.11.23,,,,,,,,B941DF39-5659-4223-BAB8-E6BC13C41BD6
GRE-02749,GREYSON CLOTHIERS,28/06/2023,,2024 SPRING,2024 SPRING,SUMMER,,,,,,MANUFACTURED,,,,,MSP24K72LS,,,,,,,,,,,,,,3431,,,,,,,,,,FALCON SPORT LS TEE,,,,,,428 - FALCON,PCE,,,,,22,,69,,85,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2024 0:00,8/03/2024 0:00,DDP,SEA,,ADDED 29.6.23; CUSTOMER STYLE NUMBER UPDATED FROM MSP24K65LS 03.01.24; PLANNED DELIVERY METHOD & EX FACTORY DATE UPDATED 22.01.24,3431MSP24K72LS428 - FALCON250,,,,,13.24,17.65,0.2,,0.61,0.1,,,,18.56,6109.90.10.07,0.32,4.24,,0.075,0.99,23.79,,,,,,,,,,35.685,y,PRICE ADDED 12.19,,,,,,,,7382FD54-4DA0-4D35-B7D5-F173CD614AB4
GRE-02750,GREYSON CLOTHIERS,28/06/2023,,2024 SPRING,2024 SPRING,SUMMER,,,,,,MANUFACTURED,,,,,MSP24O68A,,,,,,,,,,,,,,3431,,,,,,,,,,COLOR BLOCK TRAILWOLF JACKET,,,,,,428 - FALCON,PCE,,,,,20,,72,,86,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2024 0:00,8/03/2024 0:00,DDP,SEA,,ADDED 29.6.23; PLANNED DELIVERY METHOD & EX FACTORY DATE UPDATED 22.01.24,3431MSP24O68A428 - FALCON250,,,,,24.2,32.26,0.2,,0.61,0.1,,,,33.17,6211.33.90.58,0.16,3.87,,0.075,1.82,38.85,,,,,,,,,,58.275,y,PRICE ADDED 12.19,,,,,,,,617540E2-C254-44AD-A3F8-6CAC5440DC4F
GRE-02756,GREYSON CLOTHIERS,28/06/2023,,2024 SPRING,2024 SPRING,SUMMER,,,,,,MANUFACTURED,,,,,MSP24B66,,,,,,,,,,,,,,3431,,,,,,,,,,WAINSCOTT 5 POCKET PANT,,,,,,729 - JELLYFISH,PCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,28,,32,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,,,,,,17,,,,,3,,,,,,,,11,,,,,4,,,,,,,,12,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2024 0:00,8/03/2024 0:00,DDP,SEA,,ADDED 29.6.23; PLANNED DELIVERY METHOD & EX FACTORY DATE UPDATED 22.01.24,3431MSP24B66729 - JELLYFISH150,,,,,31.85,42.46,0.2,,0.61,0.1,,,,43.37,6203.43.90.11,0.279,8.89,,0.075,2.39,54.65,,,,,,,,,,81.975,y,PRICE ADDED 12.19 hts code upate 1.18.24,,,,,,,,0AAC50F9-E7B2-4330-A4AF-61B9AE03AA62
GRE-02751,GREYSON CLOTHIERS,28/06/2023,,2024 SPRING,2024 SPRING,SUMMER,,,,,,MANUFACTURED,,,,,MSP24O67B,,,,,,,,,,,,,,3431,,,,,,,,,,DARK FLORAL NEWAGO JACKET,,,,,,417 - MALTESE BLUE,PCE,,,,,16,,58,,69,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2024 0:00,8/03/2024 0:00,DDP,SEA,,ADDED 29.6.23 UPDATED STYLE NUMBER 11.7.23; PLANNED DELIVERY METHOD & EX FACTORY DATE UPDATED 22.01.24,3431MSP24O67B417 - MALTESE BLUE200,,,,,36.42,48.56,0.2,,0.61,0.1,,,,49.47,6211.33.90.58,0.16,5.83,,0.075,2.73,58.03,,,,,,,,,,87.045,y,PRICE ADDED 12.19,,,,,,,,9EB23AF5-F985-4CB0-9770-3A5478818FAB
GRE-02752,GREYSON CLOTHIERS,28/06/2023,,2024 SPRING,2024 SPRING,SUMMER,,,,,,MANUFACTURED,,,,,MFA22K74,,,,,,,,,,,,,,3431,,,,,,,,,,COKATO HOODIE,,,,,,428 - FALCON,PCE,,,,,23,,110,,139,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2024 0:00,3/03/2024 0:00,DDP,AIR,,ADDED 29.6.23; PLANNED DELIVERY METHOD & EX FACTORY DATE UPDATED 22.01.24,3431MFA22K74428 - FALCON400,,,,,32.04,42.72,0.2,,0.61,0.1,,,,43.63,6110.30.30.41,0.32,10.25,,0.075,2.4,56.29,,,,,,,,,,84.435,y,PRICE ADDED 12.19,,,,,,,,8DB3AB56-F5DF-473A-88B6-18B10A74AE7C
GRE-02753,GREYSON CLOTHIERS,28/06/2023,,2024 SPRING,2024 SPRING,SUMMER,,,,,,MANUFACTURED,,,,,MSP24K76,,,,,,,,,,,,,,3431,,,,,,,,,,COLOR BLOCK COKATO UTILITY HOODIE,,,,,,100 - ARCTIC,PCE,,,,,39,,144,,173,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2024 0:00,8/03/2024 0:00,DDP,SEA,,ADDED 29.6.23 UPDATED STYLE NUMBER 11.7.23; PLANNED DELIVERY METHOD & EX FACTORY DATE UPDATED 22.01.24,3431MSP24K76100 - ARCTIC500,,,,,35.87,47.82,0.2,,0.61,0.1,,,,48.73,6110.30.30.41,0.32,11.48,,0.075,2.69,62.9,,,,,,,,,,94.35,y,PRICE ADDED 12.19,,,,,,,,22772EF9-4ECF-4010-B801-587A3DB1D871
GRE-02754,GREYSON CLOTHIERS,28/06/2023,,2024 SPRING,2024 SPRING,SUMMER,,,,,,MANUFACTURED,,,,,MSP24K71A,,,,,,,,,,,,,,3431,,,,,,,,,,SHIBORI COLORADO HOODIE,,,,,,417 - MALTESE BLUE,PCE,,,,,50,,192,,232,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,ACTIVE,"WHIPLASH, OH",,,,,,,5/05/2024 0:00,8/03/2024 0:00,DDP,SEA,,ADDED 29.6.23 UPDATED QTY 21.7.23; PLANNED DELIVERY METHOD & EX FACTORY DATE UPDATED 22.01.24,3431MSP24K71A417 - MALTESE BLUE670,,,,,29.77,39.69,0.2,,0.61,0.1,,,,40.6,6110.30.30.41,0.32,9.53,,0.075,2.23,52.36,,,,,,,,,,78.54,y,PRICE ADDED 12.19,,,,,,,,AC8C8A68-F8EE-4556-932D-55BCCCE92F4A
