Customer_PO,Shipping_Method,Style,Color,Size,Shipped_Date,Customer,Season,shippingCountry,RESOLVED_BY,Qty,SHIP_KEY
4492,AIR,MFA22B68,262 - STONE,31,07/06/25,GREYSON,,USA,,8,4492|AIR|MFA22B68|262 - STONE|31
4492,AIR,MFA22B68,262 - STONE,32,06/04/25,GREYSON,,USA,,87,4492|AIR|MFA22B68|262 - STONE|32
4492,AIR,MFA22B68,262 - STONE,32,07/06/25,GREYSON,,USA,,34,4492|AIR|MFA22B68|262 - STONE|32
4492,AIR,MFA22B68,262 - STONE,34,06/04/25,GREYSON,,USA,,140,4492|AIR|MFA22B68|262 - STONE|34
4492,AIR,MFA22B68,262 - STONE,34,07/06/25,GREYSON,,USA,,26,4492|AIR|MFA22B68|262 - STONE|34
4492,AIR,MFA22B68,262 - STONE,36,06/04/25,GREYSON,,USA,,121,4492|AIR|MFA22B68|262 - STONE|36
4492,AIR,MFA22B68,262 - STONE,36,07/06/25,GREYSON,,USA,,24,4492|AIR|MFA22B68|262 - STONE|36
4492,AIR,MFA22B68,262 - STONE,40,06/04/25,GREYSON,,USA,,29,4492|AIR|MFA22B68|262 - STONE|40
4492,AIR,MFA22B68,262 - STONE,40,07/06/25,GREYSON,,USA,,1,4492|AIR|MFA22B68|262 - STONE|40
4492,AIR,MSP24O56,417 - MALTESE BLUE,2XL,06/04/25,GREYSON,,USA,,49,4492|AIR|MSP24O56|417 - MALTESE BLUE|2XL
4492,AIR,MSP24O56,417 - MALTESE BLUE,2XL,07/06/25,GREYSON,,USA,,12,4492|AIR|MSP24O56|417 - MALTESE BLUE|2XL
4492,AIR,MSP24O56,417 - MALTESE BLUE,L,06/04/25,GREYSON,,USA,,60,4492|AIR|MSP24O56|417 - MALTESE BLUE|L
4492,AIR,MSP24O56,417 - MALTESE BLUE,L,07/06/25,GREYSON,,USA,,44,4492|AIR|MSP24O56|417 - MALTESE BLUE|L
4492,AIR,MSP24O56,417 - MALTESE BLUE,M,06/04/25,GREYSON,,USA,,76,4492|AIR|MSP24O56|417 - MALTESE BLUE|M
4492,AIR,MSP24O56,417 - MALTESE BLUE,M,07/06/25,GREYSON,,USA,,11,4492|AIR|MSP24O56|417 - MALTESE BLUE|M
4492,AIR,MSP24O56,417 - MALTESE BLUE,S,06/04/25,GREYSON,,USA,,23,4492|AIR|MSP24O56|417 - MALTESE BLUE|S
4492,AIR,MSP24O56,417 - MALTESE BLUE,S,07/06/25,GREYSON,,USA,,8,4492|AIR|MSP24O56|417 - MALTESE BLUE|S
4492,AIR,MSP24O56,417 - MALTESE BLUE,XL,06/04/25,GREYSON,,USA,,63,4492|AIR|MSP24O56|417 - MALTESE BLUE|XL
4492,AIR,MSP24O56,417 - MALTESE BLUE,XL,07/06/25,GREYSON,,USA,,3,4492|AIR|MSP24O56|417 - MALTESE BLUE|XL
4526,AIR,LFA23B07,001 - SHEPHERD,S,06/04/25,GREYSON,,USA,,6512,4526|AIR|LFA23B07|001 - SHEPHERD|S
4526,AIR,LFA23B07,001 - SHEPHERD,S,07/06/25,GREYSON,,USA,,3,4526|AIR|LFA23B07|001 - SHEPHERD|S
4526,AIR,LSP25K47,100 - ARCTIC,L,07/04/25,GREYSON,,USA,,19,4526|AIR|LSP25K47|100 - ARCTIC|L
4526,AIR,LSP25K47,100 - ARCTIC,L,22/05/25,GREYSON,,USA,,46,4526|AIR|LSP25K47|100 - ARCTIC|L
4526,AIR,LSP25K47,100 - ARCTIC,M,07/04/25,GREYSON,,USA,,35,4526|AIR|LSP25K47|100 - ARCTIC|M
4526,AIR,LSP25K47,100 - ARCTIC,M,22/05/25,GREYSON,,USA,,57,4526|AIR|LSP25K47|100 - ARCTIC|M
4526,AIR,LSP25K47,100 - ARCTIC,S,07/04/25,GREYSON,,USA,,9,4526|AIR|LSP25K47|100 - ARCTIC|S
4526,AIR,LSP25K47,100 - ARCTIC,S,22/05/25,GREYSON,,USA,,87,4526|AIR|LSP25K47|100 - ARCTIC|S
4526,AIR,LSP25K47,873 - AGAVE,L,06/04/25,GREYSON,,USA,,45,4526|AIR|LSP25K47|873 - AGAVE|L
4526,AIR,LSP25K47,873 - AGAVE,L,22/05/25,GREYSON,,USA,,20,4526|AIR|LSP25K47|873 - AGAVE|L
4526,AIR,LSP25K47,873 - AGAVE,M,06/04/25,GREYSON,,USA,,68,4526|AIR|LSP25K47|873 - AGAVE|M
4526,AIR,LSP25K47,873 - AGAVE,M,22/05/25,GREYSON,,USA,,19,4526|AIR|LSP25K47|873 - AGAVE|M
4526,AIR,LSP25K47,873 - AGAVE,S,06/04/25,GREYSON,,USA,,47,4526|AIR|LSP25K47|873 - AGAVE|S
4526,AIR,LSP25K47,873 - AGAVE,S,22/05/25,GREYSON,,USA,,37,4526|AIR|LSP25K47|873 - AGAVE|S
4526,AIR,LSP25K47,873 - AGAVE,XL,06/04/25,GREYSON,,USA,,19,4526|AIR|LSP25K47|873 - AGAVE|XL
4526,AIR,LSP25K47,873 - AGAVE,XL,22/05/25,GREYSON,,USA,,5,4526|AIR|LSP25K47|873 - AGAVE|XL
4526,AIR,LSP25K47,873 - AGAVE,XS,06/04/25,GREYSON,,USA,,23,4526|AIR|LSP25K47|873 - AGAVE|XS
4526,AIR,LSP25K47,873 - AGAVE,XS,22/05/25,GREYSON,,USA,,14,4526|AIR|LSP25K47|873 - AGAVE|XS
4621,AIR,MFA25K72LS,100 - ARCTIC,L,06/04/25,GREYSON,,USA,,21,4621|AIR|MFA25K72LS|100 - ARCTIC|L
4621,AIR,MFA25K72LS,100 - ARCTIC,L,22/05/25,GREYSON,,USA,,10,4621|AIR|MFA25K72LS|100 - ARCTIC|L
